id,citation,url,watershed_name,figure_num,figure_caption,figure_url,attribution,attribution_url,spatial_property,spatial_property_original,num_spatial_zones,temporal_property,temporal_property_original,num_temporal_zones,vegetation_info,vegetation_info_original,soil_info,soil_info_original,geol_info,geol_info_original,topo_info,topo_info_original,three_d_info,three_d_info_original,uncertainty_info,uncertainty_info_original,other_info,num_flux_from_sql,flux_list_from_sql,num_flux_hilary,flux1,flux1_taxonomy,flux2,flux2_taxonomy,flux3,flux3_taxonomy,flux4,flux4_taxonomy,flux5,flux5_taxonomy,flux6,flux6_taxonomy,flux7,flux7_taxonomy,flux8,flux8_taxonomy,flux9,flux9_taxonomy,flux10,flux10_taxonomy,flux11,flux11_taxonomy,flux12,flux12_taxonomy,flux13,flux13_taxonomy,flux14,flux14_taxonomy,num_store,store_list,num_stores,store1,store1_taxonomy,store2,store2_taxonomy,store3,store3_taxonomy,store4,store4_taxonomy,store5,store5_taxonomy,store6,store6_taxonomy,store7,store7_taxonomy,store8,store8_taxonomy,store9,store9_taxonomy,store10,store10_taxonomy
112,"Marttila, H., Lohila, A., Ala‐Aho, P., Noor, K., Welker, J.M., Croghan, D., Mustonen, K., Meriö, L.J., Autio, A., Muhic, F. and Bailey, H., 2021. Subarctic catchment water storage and carbon cycling–leading the way for future studies using integrated datasets at Pallas, Finland. Hydrological Processes, 35(9), p.e14350.",https://doi.org/10.1002/hyp.14350,Pallas catchment,Graphical Abstract,Conceptual representation of water dynamics and pathways in the Pallas catchment and interactions with biogeochemical fluxes.,https://onlinelibrary.wiley.com/cms/asset/e8c13dba-036c-404f-9971-7bccc559c85e/hyp14350-toc-0001-m.jpg,CC BY,http://creativecommons.org/licenses/by/4.0/,N,N,1,N,N,1,Vegetation described,Icons only,N,N,N,N,N,N,N,N,N,N,N,,,,horizontal suburface flow,Subsurface stormflow,Groundwater flow,Groundwater flow,Spring,Springflow,Seepage,Exfiltration,GW-SW interactions,Connectivity,Groundwater flow supporting winter and summer low flows,Gaining stream,,,,,,,,,,,,,,,,,,,,Groundwater,Groundwater storage,Water table variations,Water table rise,,,,,,,,,,,,,,,,
113,"Yapiyev, V., Skrzypek, G., Verhoef, A., Macdonald, D. and Sagintayev, Z., 2020. Between boreal Siberia and arid Central Asia–stable isotope hydrology and water budget of Burabay National Nature Park ecotone (Northern Kazakhstan). Journal of Hydrology: Regional Studies, 27, p.100644.",https://doi.org/10.1016/j.ejrh.2019.100644,Burabay National Nature Park,Graphical Abstract,None,https://ars.els-cdn.com/content/image/1-s2.0-S2214581819301740-ga1_lrg.jpg,CC BY-NC-ND,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,N,N,1,Vegetation described,Icons only,N,N,N,N,Slopes described,Changes in slope,N,N,N,N,N,,,,Surface flow (run-off),Overland flow,Interflow,Subsurface stormflow,Groundwater flow,Groundwater flow,AET,Evapotranspiration,EL,Open water evaporation,,,,,,,,,,,,,,,,,,,,,,Lake,Lake storage,,,,,,,,,,,,,,,,,,
114,"Ross SM, Thornes JB, Nortcliff S. 1990. Soil hydrology, nutrient and erosional response to the clearance of Terra Firme forest, maraca island, Roraima, northern Brazil. The geographical journal 156 (3): 267 DOI: 10.2307/635528",https://doi.org/10.2307/635528,The terra firme forest of Maraca Island,5,Not open-access,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/6dbe6368001949d19bc783b45f438513/data,Not open-access,,N,N,1,Season and wetness,Wet and dry season,2,N,N,N,N,Bedrock described,Laterite layer,Topography described,Plateau,N,N,N,N,N,,,,"No label, an icon of dripping",Channel flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plateau,Soil water storage,Slope,Soil water storage,Floodplain,Soil saturation,Channel,Channel storage,,,,,,,,,,,,
115,Lesack LFW. 1993. Water balance and hydrologic characteristics of a rain forest catchment in the Central Amazon Basin. Water resources research 29 (3): 759–773 DOI: 10.1029/92wr02371,https://doi.org/10.1029/92wr02371,Drainage basin of Lake Calado,11,Not open-access,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/2d65c3b8856e49a7a68cb9ed0fe35f69/data,Not open-access,,N,N,1,Wetness,High and low water,2,N,N,N,N,N,N,Topography described,floodplain indicated,N,N,Unknown items identified,Question marks by regional GW flow,N,,,,regional groundwter flow,Regional groundwater flow,subsurface flow,Subsurface stormflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lake surface,Lake storage,water table,Water table,floodplain transition,Riparian unsaturated storage,,,,,,,,,,,,,,
116,"Kreis, M., J.-D. Taupin, N. Patris, and E.S.P.R. Martins. 2020. Isotopic characterisation and dating of groundwater recharge mechanisms in crystalline fractured aquifers: example of the semi-arid Banabuiú watershed (Brazil). Isotopes Environ. Health Stud. 56(5–6): 418–430. doi: 10.1080/10256016.2020.1797275.",https://doi.org/10.1080/10256016.2020.1797275,4 sub-basins of Banabuiú watershed,5,Not open-access,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/5ec0a5d0f4c1442aabb7cc113990ad10/data,Not open-access,,N,N,1,N,N,1,N,N,N,N,Bedrock described,"Geologic information (granite, fissuerd, low perm etc.)",Topography described,Rough picture,N,N,N,N,N,,,,direct infiltration,Infiltration,indirect infiltration,Evaporation,rapid vertical flow,Infiltration into bedrock via preferential flow paths,slow horizontal flow,Regional groundwater flow,,,,,,,,,,,,,,,,,,,,,,,,free surface water,Bank storage,soil and weathering zone,Soil water storage,Granite fissured zone,Bedrock fracture storage,Massive granite low permeability,Bedrock matrix storage,,,,,,,,,,,,
117,"Burte JDP, Coudrain A, Marlet S. 2011. Use of water from small alluvial aquifers for irrigation in semi-arid regions. Ciencia agronomica 42 (3): 635–643 DOI: 10.1590/s1806-66902011000300009",https://doi.org/10.1590/S1806-66902011000300009,Forquilha watershed,6,"Conceptual model of two possible explanations for the increase in salinity observed after the flood of 2004: (1) contribution
from the crystalline bedrock, and (2) leaching from the unsaturated zone",https://minio.scielo.br/documentstore/1806-6690/p8gwZyv5Sw3Y6mzjT9wF6FQ/52cdc813fd57ffe91acf5de1dce8ab31855ca319.jpg,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,N,N,1,Event,Days after heavy rainfal,4,N,N,N,N,N,N,N,N,N,N,N,N,Salinity study,,,,No label,Losing stream,No label,Infiltration,No label,Regional groundwater flow,No label,Hyporheic flow,,Gaining stream,,,,,,,,,,,,,,,,,,,,,,No label,Water table,No label,Depression storage,No label,Perched water tables,,,,,,,,,,,,,,
118,"Eger GZS, Silva Junior GC, Marques EAG, Leão BRC, da Rocha DGTB, Gilmore TE, do Amaral LGH, Silva JAO, Neale C. 2021. Recharge assessment in the context of expanding agricultural activity: Urucuia Aquifer System, western State of Bahia, Brazil. Journal of South American earth sciences 112 (103601): 103601 DOI: 10.1016/j.jsames.2021.103601",https://doi.org/10.1016/j.jsames.2021.103601,Urucuia Aquifer system,2B,Not open-access,https://ars.els-cdn.com/content/image/1-s2.0-S0895981121004478-gr2.jpg,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,Scale bar shown,Scale shown,N,N,N,N,N,,,,Infiltration/percolation,Vertical matrix flow,No label,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,No label,Water table,,,,,,,,,,,,,,,,,,
119,"Wunderlich, W., Lang, M., Keating, K., Perez, W.B. and Oshun, J., 2023. The role of peat-forming bofedales in sustaining baseflow in the humid puna. Journal of Hydrology: Regional Studies, 47, p.101394.",https://doi.org/10.1016/j.ejrh.2023.101394,"Upper Ramuschaka Watershed, Peru",8,"We conceptualize the hydrologic function of bofedales (figure not meant to be drawn to scale) as ‘way stations’ at the interface between deep groundwater dynamics within the upland hillslopes and streamflow. A large contributing upland area (4–12 times the size of the bofedal) supplies groundwater to the bofedal. The bofedal is composed of layers of peat, clay and saprolite/glaciofluvial sediments. In the fill-up period, rain recharges groundwater and drives flow to bofedales, filling layers of clay and high porosity peat. Runoff in streams is small. Once the bofedal saturates, catchment wide storage capacity is filled, and successive storms generate a steady-state response generating large streamflow. In the release phase, the absence of precipitation leads to decreased groundwater contributions to bofedales and they drain slowly through low conductivity basal layers, sustaining dry season baseflow.",https://ars.els-cdn.com/content/image/1-s2.0-S2214581823000812-gr8.jpg,CC BY-NC-ND 4.0,,N,N,1,Wetness,Fill-up/saturation/release,3,Vegetation icons,Icons,Soil types described,Describes soil types,N,N,N,N,N,N,N,N,N,,,,streamflow,Channel flow,recharges groundwater,Vertical drainage to groundwater,flow,Groundwater flow,drain slowly through low conductivity basal layers,Lateral matrix flow,baseflow,Gaining stream,,,,,,,,,,,,,,,,,,,,,,Deep groundwater,Groundwater Storage,saturates,Soil saturation,catchment wide storage capacity,Total groundwater storage,,,,,,,,,,,,,,
120,"Ledford, S.H., Lautz, L.K. and Stella, J.C., 2016. Hydrogeologic processes impacting storage, fate, and transport of chloride from road salt in urban riparian aquifers. Environmental science & technology, 50(10), pp.4979-4988.",https://doi.org/10.1021/acs.est.6b00402,"Meadowbrook Creek, New York",2a,Not open-access,https://pubs.acs.org/cms/10.1021/acs.est.6b00402/asset/images/medium/es-2016-00402t_0003.gif,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,hillslope flux,Connectivity between hillslopes and channel,surfacewater - groundwater interactions,Hyporheic flow,precipitation recharge,Vertical drainage to groundwater,,,,,,,,,,,,,,,,,,,,,,,,,,bank storage,Bank storage,,,,,,,,,,,,,,,,,,
121,"Ledford, S.H. and Lautz, L.K., 2015. Floodplain connection buffers seasonal changes in urban stream water quality. Hydrological processes, 29(6), pp.1002-1016.",https://doi.org/10.1002/hyp.10210,"Meadowbrook Creek, New York",11,Not open-access,https://onlinelibrary.wiley.com/cms/asset/128136d0-2358-4b48-ac99-ea4a607a0090/hyp10210-fig-0011-m.jpg,Not open-access,,Land use / Land cover,Disconnected / connected,2,Season,Winter/summer,2,N,N,N,N,N,N,N,N,N,N,Unknown items identified,Question marks by water table,N,,,,Rain event runoff,IE flow from impermeable areas,inflow from retention basin,Channel flow,GW recharge,Vertical drainage to groundwater,GW from hillslope,Connectivity between hillslopes and channel,SW-GW exchange,Hyporheic flow,GW input,Gaining stream,,,,,,,,,,,,,,,,,,,,water table,Water table,retention basin,Lake storage,,,,,,,,,,,,,,,,
122,"Gooseff, M.N., McKnight, D.M., Doran, P., Fountain, A.G. and Lyons, W.B., 2011. Hydrological connectivity of the landscape of the McMurdo Dry Valleys, Antarctica. Geography Compass, 5(9), pp.666-681.",https://doi.org/10.1111/j.1749-8198.2011.00445.x,McMurdo Dry Valleys,8,Not open-access,https://compass.onlinelibrary.wiley.com/cms/asset/fb576cd0-9b68-439a-ac12-5ffac9aa7f3b/gec3_445_f8.gif,Not open-access,,N,N,1,Interannual,Cold/warm summer,2,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,sublimation,Sublimation,meltwater,Snowmelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,snow,Snow storage,water column,Lake storage,,,,,,,,,,,,,,,,
123,"Lahuatte, B., Mosquera, G.M., Páez‐Bimos, S., Calispa, M., Vanacker, V., Zapata‐Ríos, X., Muñoz, T. and Crespo, P., 2022. Delineation of water flow paths in a tropical Andean headwater catchment with deep soils and permeable bedrock. Hydrological Processes, 36(10), p.e14725.",https://doi.org/10.1002/hyp.14725,Jatunhuaycu Experimental Observatory,8,Not open-access,https://onlinelibrary.wiley.com/cms/asset/fd62298a-e1f4-4580-8746-0f2105fd3f73/hyp14725-fig-0008-m.jpg,Not open-access,,Land use / Land cover,Tussock grass / Cushion plants,2,N,N,1,Vegetation types described,Vegetation types,Horizons described,Describes soil horizons,N,N,Slopes described,Shows slopes,N,N,Unknown items identified,Question marks to show complexity in distribution of soil horizons,N,,,,stream water,Channel flow,vertical flow,Vertical matrix flow,subsurface flow,Subsurface stormflow,water flow in soil horizons,Lateral matrix flow at soil horizons,water flow in […] fractures,Pistonflow,surface water flow,Overland flow,,,,,,,,,,,,,,,,,,,,wetlands,Soil saturation,soil water,Soil water storage,,,,,,,,,,,,,,,,
124,"Mokua, R.A., Glenday, J., Nel, J. and Butler, M., 2020. Combined use of stable isotopes and hydrochemical characteristics to determine streamflow sources in the Jonkershoek catchment, South Africa. Isotopes in Environmental and Health Studies, 56(3), pp.238-259.",https://doi.org/10.1080/10256016.2020.1760861,Jonkershoek catchment,7,Not open-access,https://www.tandfonline.com/na101/home/literatum/publisher/tandf/journals/content/gieh20/2020/gieh20.v056.i03/10256016.2020.1760861/20210505/images/large/gieh_a_1760861_f0007_ob.jpeg,Not open-access,,N,N,1,Season and wetness,Wet season/dry season,2,Vegetation icons,Vegetation icons,N,N,Bedrock described,Rock types,Slopes described,Shows slopes,3D graphics,3D figure,N,N,N,,,,infiltration,Infiltration,springs,Springflow,seeps,Exfiltration,interflow,Subsurface stormflow,groundwater flow,Groundwater flow,streamflow,Channel flow,,,,,,,,,,,,,,,,,,,,unsaturated zone,Soils,groundwater,Groundwater storage,water table,Water table,,,,,,,,,,,,,,
125,"Saayman, I.C., Scott, D.F., Prinsloo, F.W., Moses, G., Weaver, J.M.C. and Talma, S., 2003. Evaluation of the application of natural isotopes in the identification of the dominant streamflow generation mechanisms in TMG catchments. Water Research Commission, Pretoria. WRC Report, (1234/1), p.03.",https://www.wrc.org.za/wp-content/uploads/mdocs/1234-1-031.pdf,Zachariashoek research catchments,6,Not open-access,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/e8100adea29d42a19b2930c5cad8c27f/data,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,Slopes described,Shows slopes,N,N,N,N,N,,,,surface runoff from rock outcrops,IE flow from impermeable areas,spring water,Springflow,seepage,Exfiltration,lateral induced flow in fractured rock,Lateral unsaturated bedrock flow,Vertical recharge flow in fractured rock,Pistonflow,local surface runoff,Overland flow,preferential flow,Lateral macropore flow,reinfiltration,Reinfiltration,groundwater aquifer lateral flow,Groundwater flow,,,,,,,,,,,,,,groundwater ridging,Groundwater ridging,perched water tables,Perched water tables,groundwater,Groundwater storage,water table,Water table,,,,,,,,,,,,
126,"Harrison, R., van Tol, J. and Amiotte Suchet, P., 2022. Hydropedological Characteristics of the Cathedral Peak Research Catchments. Hydrology, 9(11), p.189.",https://doi.org/10.3390/hydrology9110189,"CP-III, Cathedral Peak experimental research catchment",5,Flow path diagrams for (a) the drier periods and (b) wetter periods for CP-III.,https://www.mdpi.com/hydrology/hydrology-09-00189/article_deploy/html/images/hydrology-09-00189-g005-550.jpg,CC-BY 4.0,,N,N,1,Season and wetness,Drier/Wetter Periods,2,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,recharge,Vertical drainage to groundwater,interflow,Subsurface stormflow,overland flowpaths,Overland flow,,,,,,,,,,,,,,,,,,,,,,,,,,soils,Soil water storage,saturated responsive soils,Soil saturation,stream network,Channel storage,deeper aquifers,Groundwater storage,,,,,,,,,,,,
127,"Harrison, R., van Tol, J. and Amiotte Suchet, P., 2022. Hydropedological Characteristics of the Cathedral Peak Research Catchments. Hydrology, 9(11), p.189.",https://doi.org/10.3390/hydrology9110189,"CP-IX, Cathedral Peak experimental research catchment",7,Flow path diagrams for (a) the drier periods and (b) wetter periods for CP-VI. ,https://www.mdpi.com/hydrology/hydrology-09-00189/article_deploy/html/images/hydrology-09-00189-g007-550.jpg,CC-BY 4.0,,N,N,1,Season and wetness,Drier/Wetter Periods,2,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,recharge,Vertical drainage to groundwater,interflow,Subsurface stormflow,overland flowpaths,Overland flow,,,,,,,,,,,,,,,,,,,,,,,,,,soils,Soil water storage,saturated responsive soils,Soil saturation,stream network,Channel storage,deeper aquifers,Groundwater storage,,,,,,,,,,,,
128,"Harrison, R., van Tol, J. and Amiotte Suchet, P., 2022. Hydropedological Characteristics of the Cathedral Peak Research Catchments. Hydrology, 9(11), p.189.",https://doi.org/10.3390/hydrology9110189,"CP-VI, Cathedral Peak experimental research catchment",9,Flow path diagrams for (a) the drier periods and (b) wetter periods for CP-IX. ,https://www.mdpi.com/hydrology/hydrology-09-00189/article_deploy/html/images/hydrology-09-00189-g009-550.jpg,CC-BY 4.0,,N,N,1,Season and wetness,Drier/Wetter Periods,2,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,recharge,Vertical drainage to groundwater,interflow,Subsurface stormflow,overland flowpaths,Overland flow,,,,,,,,,,,,,,,,,,,,,,,,,,soils,Soil water storage,saturated responsive soils,Soil saturation,stream network,Channel storage,deeper aquifers,Groundwater storage,,,,,,,,,,,,
129,"Egusa, T., Ohte, N., Oda, T. and Suzuki, M., 2016. Quantifying aggregation and change in runoff source in accordance with catchment area increase in a forested headwater catchment. Hydrological Processes, 30(22), pp.4125-4138.",https://doi.org/10.1002/hyp.10916,"Fukuroyamasawa Experimental Watershed B, Inokawa Watershed",2,Not open-access,https://onlinelibrary.wiley.com/cms/asset/d9092984-332b-4132-bd87-fdd3898f1032/hyp10916-fig-0002-m.jpg,Not open-access,,N,N,1,N,N,1,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,flow of subsurface water,Vertical matrix flow,flow of groundwater,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,subsurface water,Soil water storage,water table,Water table,groundwater,Groundwater storage,stream,Channel storage,,,,,,,,,,,,
130,"Maréchal, J.-C., Braun, J.-J., Riotte, J., Bedimo, J.-P.B. and Boeglin, J.-L. (2011), Hydrological processes of a rainforest headwater swamp from natural chemical tracing in Nsimi watershed, Cameroon. Hydrol. Process., 25: 2246-2260.",https://doi.org/10.1002/hyp.7989,Nsimi watershed,2,Not open-access,https://onlinelibrary.wiley.com/cms/asset/97534848-c4e9-4db8-bdca-15ec4b048d63/mfig002.jpg,Not open-access,,Hillslope position,Hillslope / swamp,2,N,N,1,Vegetation icons,Vegetation icons,N,N,N,N,N,N,N,N,N,N,N,,,,recharge,Vertical drainage to groundwater,overland flow,Saturation excess flow,spring ,Springflow,groundwater flow paths,Groundwater flow,evapotranspiration,Evapotranspiration,exchange rate between the swamp and the stream,Gaining stream,,,,,,,,,,,,,,,,,,,,bedrock aquifer,Groundwater storage,swamp aquifer,Riparian aquifer storage,stream water,Channel storage,,,,,,,,,,,,,,
131,"Grandjouan, O., Branger, F., Masson, M., Cournoyer, B. and Coquery, M., 2023. Identification and estimation of hydrological contributions in a mixed land‐use catchment based on a simple biogeochemical and hydro‐meteorological dataset. Hydrological Processes, 37(12), p.e15035.",https://doi.org/10.1002/hyp.15035,"Ratier catchment, Yzeron Basin",3,Not open-access,https://onlinelibrary.wiley.com/cms/asset/ba8fe13e-6213-4a80-b914-f7670b8538c5/hyp15035-fig-0003-m.jpg,Not open-access,,Land use / Land cover,Forest/Agricultural/Urban,3,N,N,1,Vegetation icons,Icons,Soil types described,Describes soil types,Geological types described,Describes geological types,Slopes described,Shows slopes,3D graphics,3D figure,N,N,N,,,,Fractured gneiss flow,Pistonflow,Saprolite flow,Lateral matrix flow at soil-bedrock interface,Collouvium groundwater flow,Groundwater flow,Arrow towards the stream,Gaining stream,,,,,,,,,,,,,,,,,,,,,,,,Groundwater storage,Groundwater storage,,,,,,,,,,,,,,,,,,
